"","x"
"1","L81009"
"2","L81021"
"3","L81017"
"4","L81023"
"5","L81014"
"6","L81029"
"7","L81004"
"8","L81016"
"9","L81015"
"10","L81024"
"11","L81013"
"12","L81018"
"13","L81038"
"14","L81042"
"15","L81046"
"16","L81051"
"17","L81031"
"18","L81033"
"19","L81040"
"20","L81044"
"21","L81053"
"22","L81054"
"23","L81067"
"24","L81075"
"25","L81084"
"26","L81061"
"27","L81058"
"28","L81077"
"29","L81066"
"30","L81063"
"31","L81089"
"32","L81078"
"33","L81094"
"34","L81085"
"35","Y02873"
"36","L81098"
"37","L81600"
"38","L81106"
"39","L81118"
"40","L81125"
"41","Y02578"
"42","L81133"
"43","L81130"
"44","L81127"
"45","L81632"
"46","L81649"
"47","L81019"
"48","L81087"
"49","L81022"
"50","L81050"
"51","L81083"
"52","L81117"
"53","L81008"
"54","L81081"
"55","L81082"
"56","L81055"
"57","L81091"
"58","L81103"
"59","L81642"
"60","L81026"
"61","L81037"
"62","L81062"
"63","L81079"
"64","L81012"
"65","L81041"
"66","L81047"
"67","L81131"
"68","L81670"
"69","L81007"
"70","L81034"
"71","L81095"
"72","L81643"
"73","L81090"
