,David,Harry,Kelly,Phil,Phil,Rhys,Rhys
Condition,Group1,Group 2,Group 3,Group4,Group5,Group6,Group7
abortion.csv,,,,,,,
alcohol_cscore.csv,,,,,,,
alcohol_units.csv,,,,,,,
asthma.csv,,,,,,,
bmi.csv,,,,,,,
bp_date_reading.csv,,,,,,,
cc_eGFR.csv,,,,,,,
Covid_increased_risk_CMO.csv,,,,,,,
covid_antigen_negative.csv,,,,,,,
current_smokers.csv,,,,,,,
diabetes_retina.csv,,,,,,,
eczema.csv,,,,,,,
efi_Category.csv,,,,,,,
eGFR.csv,,,,,,,
epaacs.csv,,,,,,,
ex_smokers.csv,,,,,,,
gppaq.csv,,,,,,,
hba1c.csv,,,,,,,
health_check.csv,,,,,,,
ht.csv,,,,,,,
ibs.csv,,,,,,,
infant_feeding.csv,,,,,,,
influenza vaccine 2020/21.csv,,,,,,,
measles_mumps.csv,,,,,,,
miscarriage.csv,,,,,,,
mmr1.csv,,,,,,,
mmr2.csv,,,,,,,
neuro_pain.csv,,,,,,,
newborn_check.csv,,,,,,,
osteoarthritis.csv,,,,,,,
polypharmacy_acute.csv,,,,,,,
polypharmacy_repeat.csv,,,,,,,
Post_viral_covid.csv,,,,,,,
qof_depression.csv,,,,,,,
qof_ht.csv,,,,,,,
qrisk2_3.csv,,,,,,,
sad.csv,,,,,,,
screen_bowel.csv,,,,,,,
screen_breast.csv,,,,,,,
screen_cervical.csv,,,,,,,
stomach.csv,,,,,,,
thyroid.csv,,,,,,,
