,Group1,Group2,Group3,Group4,Group5,Group6,Group7
x,Phil,Phil,Harry,Kelly,Kelly,Rhys,Rhys
abortion.csv,,,,,,,
af.csv,,,,,,,
alcohol_cscore.csv,,,,,,,
alcohol_units.csv,,,,,,,
asthma.csv,,,,,,,
bmi.csv,,,,,,,
cancer_lung.csv,,,,,,,
cardio_other.csv,,,,,,,
cc_eGFR.csv,,,,,,,
cc_stroke.csv,,,,,,,
ckd.csv,,,,,,,
contraception.csv,,,,,,,
Covid_increased_risk_CMO.csv,,,,,,,
covid_antigen_negative.csv,,,,,,,
covid vaccine first dose.csv,,,,,,,
eczema.csv,,,,,,,
efi_Category.csv,,,,,,,
eGFR.csv,,,,,,,
ex_smokers.csv,,,,,,,
gppaq.csv,,,,,,,
hba1c.csv,,,,,,,
health_check.csv,,,,,,,
hearing_impair.csv,,,,,,,
ht.csv,,,,,,,
infant_feeding.csv,,,,,,,
influenza_vaccine_2020_21.csv,,,,,,,
mmr1.csv,,,,,,,
mmr2.csv,,,,,,,
newborn_check.csv,,,,,,,
osteoarthritis.csv,,,,,,,
polypharmacy_acute.csv,,,,,,,
polypharmacy_repeat.csv,,,,,,,
qof_asthma.csv,,,,,,,
qof_ckd.csv,,,,,,,
qrisk2_3.csv,,,,,,,
sad.csv,,,,,,,
screen_bowel.csv,,,,,,,
screen_cervical.csv,,,,,,,
